2026-08-12 13:55:23,491 - ERROR - Skipped corrupt row:['id', 'name', 'price', 'quantity']
2026-08-12 13:55:23,491 - ERROR - Skipped corrupt row:['2', 'Mouse', 'abc', '50']
2026-08-12 13:55:23,491 - ERROR - Skipped corrupt row:['3', 'Keyboard', '1200', 'thirty']
2026-08-12 14:01:59,550 - ERROR - Skipped corrupt row:['id', 'name', 'price', 'quantity']
2026-08-12 14:01:59,550 - ERROR - Skipped corrupt row:['2', 'Mouse', 'abc', '50']
2026-08-12 14:01:59,550 - ERROR - Skipped corrupt row:['3', 'Keyboard', '1200', 'thirty']
2026-08-12 14:03:07,739 - ERROR - Skipped corrupt row:['id', 'name', 'price', 'quantity']
2026-08-12 14:03:07,756 - ERROR - Skipped corrupt row:['2', 'Mouse', 'abc', '50']
2026-08-12 14:03:07,756 - ERROR - Skipped corrupt row:['3', 'Keyboard', '1200', 'thirty']
2026-08-12 14:05:03,848 - ERROR - Skipped corrupt row:['id', 'name', 'price', 'quantity']
2026-08-12 14:05:03,848 - ERROR - Skipped corrupt row:['2', 'Mouse', 'abc', '50']
2026-08-12 14:05:03,848 - ERROR - Skipped corrupt row:['3', 'Keyboard', '1200', 'thirty']
2026-08-12 14:07:03,745 - ERROR - Skipped corrupt row:['2', 'Mouse', 'abc', '50']
2026-08-12 14:07:03,745 - ERROR - Skipped corrupt row:['3', 'Keyboard', '1200', 'thirty']
2026-08-12 14:07:17,464 - ERROR - Skipped corrupt row:['2', 'Mouse', 'abc', '50']
2026-08-12 14:07:17,465 - ERROR - Skipped corrupt row:['3', 'Keyboard', '1200', 'thirty']
